이유,참조 조문,요지,참조 판례
"
  상고이유(상고이유서 제출기간이 지난 다음 제출된 상고이유보충서는 상고이유를 보충하는 범위 내에서)를 판단한다.
  원심판결 이유를 관련 법리와 적법하게 채택된 증거에 비추어 살펴보면, 원심이 그 판시와 같은 이유를 들어  이 사건 공소사실을 유죄로 판단한 것은 정당하다. 거기에 상고이유 주장과 같이 논리와 경험의 법칙을 위반하여 자유심증주의의 한계를 벗어나 사실을 잘못 인정하거나 공소제기의 효력범위, 증명책임, 명예훼손죄 및 사자명예훼손죄의 구성요건, 표현의 자유에 관한 법리를 오해하는 등의 위법이 없다.
  그러므로 상고를 기각하기로 하여, 관여  대법관의 일치된 의견으로 주문과 같이 판결한다.
",no data,no data,nodata
"
  상고이유를 판단한다.
  1. 검사의 상고이유에 관하여
  원심은 판시와 같은 이유로 피고인 A에 대한 공소사실(유죄 부분 제외)에 대하여 범죄의 증명이 없다고 보아 이를 이유에서 무죄로 판단하였다. 원심판결 이유를 관련 법리와 기록에 비추어 살펴보면, 원심의 판단에 논리와 경험의 법칙을 위반하여 자유심증주의의  한계를 벗어나거나 상해죄에서의 상해, 인과관계,「정보통신망 이용촉진 및 정보보호 등에 관한 법률」위반(명예훼손)죄에서의 사실의 적시 등에 관한 법리를 오해한 잘못이 없다.
  한편 검사는 원심판결 전부에 대하여 상고하였으나, 유죄 부분에 관하여는 상고장이나 상고이유서에 이에 대한 불복이유의 기재가 없다.
  2. 피고인들의 상고이유에 관하여
  원심은 판시와 같은 이유로 피고인들에 대한 공소사실(이유 무죄 부분 제외)을 유죄로 판단하였다. 원심판결 이유를 관련 법리와 적법하게 채택된 증거에 비추어 살펴보면, 원심의 판단에 필요한 심리를 다하지 않은 채 논리와 경험의 법칙을 위반하여 자유심증주의의 한계를 벗어나거나 「정보통신망 이용촉진 및 정보보호 등에 관한 법률」위반(명예훼손)죄, 사자명예훼손죄, 출판물에의한명예훼손죄에서의 사실의 적시, 피해자 특정, 허위사실, 고의, 비방의 목적, 정당행위 등에 관한 법리를 오해하고 판단누락, 이유불비 등의 잘못이 없다.
  그리고 기록을 살펴보아도 원심의 소송절차에 상고이유 주장과 같이 피고인 A의 방어권과 변론권을 침해하는 등의 잘못이 없다.
  3. 결론
  그러므로 상고를 모두 기각하기로 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다.
",no data,no data,nodata
"
  상고이유를 판단한다.
  1. 정보통신망 이용촉진 및 정보보호 등에 관한 법률(이하 ‘정보통신망법’이라 한다)  제70조 제2항이 정한 ‘허위사실 적시에 의한 명예훼손죄’ 또는 형법 제309조 제2항, 제1항이 정한 ‘허위사실 적시 출판물에 의한 명예훼손죄’가 성립하려면 피고인이 적시하는 사실이 허위이고 그 사실이 허위임을 인식하여야 하며, 이러한 허위의 인식에 대한  증명책임은 검사에게 있다. 여기에서 사실의 적시는 가치판단이나 평가를 내용으로 하는 의견표현에 대치되는 개념으로서 시간적으로나 공간적으로 구체적인 과거 또는 현재의 사실관계에 관한 보고나 진술을 뜻한다. 적시된 사실의 중요한 부분이 객관적 사실과 합치되는 경우에는 세부적으로 진실과 약간 차이가 나거나 다소 과장된 표현이  있더라도 이를 거짓의 사실이라고 볼 수 없다. 거짓의 사실인지를 판단할 때에는 적시된 사실 내용 전체의 취지를 살펴 객관적 사실과 합치하지 않는 부분이 중요한 부분인지 여부를 결정하여야 한다(대법원 2011. 6. 10. 선고 2011도1147 판결 등 참조). 
 정보통신망법 제70조 제2항, 형법 제309조 제2항이 정한 ‘사람을 비방할 목적’이란  가해의 의사와 목적을 필요로 하는 것으로, 사람을 비방할 목적이 있는지는 적시한 사실의 내용과 성질, 사실의 공표가 이루어진 상대방의 범위, 표현의 방법 등 표현 자체에 관한 여러 사정을 감안함과 동시에 그 표현으로 훼손되거나 훼손될 수 있는 명예의  침해 정도 등을 비교·형량하여 판단하여야 한다. ‘비방할 목적’은 공공의 이익을 위한  것과는 행위자의 주관적 의도의 방향에서 상반되므로, 적시한 사실이 공공의 이익에  관한 것인 경우에는 특별한 사정이 없는 한 비방할 목적은 부정된다. 여기에서 ‘적시한  사실이 공공의 이익에 관한 경우’라 함은 적시한 사실이 객관적으로 볼 때 공공의 이익에 관한 것으로서 행위자도 주관적으로 공공의 이익을 위하여 그 사실을 적시한 것이어야 한다. 그 사실이 공공의 이익에 관한 것인지는 명예훼손의 피해자가 공무원 등 공인(公人)인지 아니면 사인(私人)에 불과한지, 그 표현이 객관적으로 국민이 알아야  할 공공성·사회성을 갖춘 공적 관심 사안에 관한 것으로 사회의 여론형성이나 공개토론에 기여하는 것인지 아니면 순수한 사적인 영역에 속하는 것인지, 피해자가 명예훼손적 표현의 위험을 자초한 것인지 여부, 그리고 표현으로 훼손되는 명예의 성격과 침해의 정도, 표현의 방법과 동기 등 여러 사정을 고려하여 판단하여야 한다. 행위자의  주요한 동기와 목적이 공공의 이익을 위한 것이라면 부수적으로 다른 사익적 목적이나 동기가 포함되어 있더라도 비방할 목적이 있다고 보기는 어렵다(대법원 2011. 11. 24.  선고 2010도10864 판결 등 참조). 
  명예훼손죄가 성립하기 위해서는 피해자의 사회적 가치나 평가가 침해될 가능성이  있어야 하므로, 어떤 표현이 명예훼손적인지는 그 표현에 대한 사회통념에 따른 객관적 평가에 따라 판단하여야 한다(대법원 2008. 11. 27. 선고 2008도6728 판결 등 참조). 표현의 자유와 명예보호 사이의 한계를 정할 때 표현으로 명예가 훼손되는 피해자의 지위나 표현의 내용 등에 따라 심사기준에 차이를 두어야 하고, 공공적·사회적인  의미를 가진 사안에 관한 표현의 경우에는 표현의 자유를 가급적 넓게 보호하여야 한다. 특히 정부 또는 국가기관의 업무수행과 관련된 사항은 항상 국민의 감시와 비판의  대상이 되어야 하는 것이고 정부 또는 국가기관은 형법상 명예훼손죄의 피해자가 될  수 없으므로(형법과 정보통신망법은 명예훼손죄의 피해자를 ‘사람’으로 명시하고 있다),  정부 또는 국가기관의 업무수행과 관련된 사항에 관한 표현으로 그 업무수행에 관여한  공직자에 대한 사회적 평가가 다소 저하될 수 있다고 하더라도, 그 내용이 공직자 개인에 대한 악의적이거나 심히 경솔한 공격으로서 현저히 상당성을 잃은 것으로 평가되지 않는 한, 그로 인하여 곧바로 공직자 개인에 대한 명예훼손이 된다고 할 수 없다(대법원 2003. 7. 22. 선고 2002다62494 판결, 대법원 2011. 9. 2. 선고 2010도17237 판결  등 참조). 
  명예훼손죄는 어떤 특정한 사람 또는 인격을 보유하는 단체에 대하여 명예를 훼손함으로써 성립하는 것이므로 피해자가 특정되어야 한다. 집합적 명사를 쓴 경우에도 어떤 범위에 속하는 특정인을 가리키는 것이 명백하면, 이를 각자의 명예를 훼손하는 행위라고 볼 수 있다. 그러나 명예훼손의 내용이 집단에 속한 특정인에 대한 것이라고  해석되기 힘들고 집단표시에 의한 비난이 개별구성원에 이르러서는 비난의 정도가 희석되어 구성원 개개인의 사회적 평가에 영향을 미칠 정도에 이르지 않는 것으로 평가되는 경우에는 구성원 개개인에 대한 명예훼손이 성립하지 않는다(대법원 2000. 10.  10. 선고 99도5407 판결, 대법원 2011. 7. 28. 선고 2008도3120 판결 등 참조). 
  2. 검사는 해양경찰청장 공소외인과 세월호 침몰사고 현장 구조대원들, 세월호 구조  담당 해양경찰을 피해자로 하여 피고인이 그들을 비방할 목적으로 거짓 사실을 드러냈다면서 정보통신망법(명예훼손)위반죄와 출판물에 의한 명예훼손죄로 피고인을 기소하였고, 원심에서 위 공소사실을 주위적 공소사실로 하고, 예비적으로 같은 피해자들에  대하여 허위 사실을 적시하여 명예를 훼손하였다면서 허위 사실 적시에 의한 명예훼손죄를 추가하였다. 
  그러나 원심은 이 사건 주위적·예비적 공소사실 모두 범죄의 증명이 없다고 보아  피고인에게 무죄를 선고하였다. 원심판결 이유를 위에서 본 법리와 기록에 비추어 살펴보면, 원심의 판단에 상고이유 주장과 같이 논리와 경험의 법칙에 반하여 자유심증주의의 한계를 벗어나거나 명예훼손죄의 성립 등에 관한 법리를 오해한 잘못이 없다. 
  3. 검사의 상고는 이유 없으므로 이를 기각하기로 하여, 대법관의 일치된 의견으로  주문과 같이 판결한다.
","〔1〕 형법 제309조 제2항, 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제70조 제2항 / 〔2〕 형법 제309조 제2항, 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제70조 제2항, / 〔3〕 헌법 제21조, 형법 제307조, 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제70조 / 〔4〕 형법 제307조
",no data,"〔1〕 대법원 2011. 6. 10. 선고 2011도1147 판결 / 〔2〕 대법원 2011. 11. 24. 선고 2010도10864 판결 / 〔3〕 대법원 2003. 7. 22. 선고 2002다62494 판결(공2003하, 1770), 대법원 2008. 11. 27. 선고 2008도6728 판결, 대법원 2011. 9. 2. 선고 2010도17237 판결(공2011하, 2152) / 〔4〕 대법원 2000. 10. 10. 선고 99도5407 판결(공2000하, 2361), 대법원 2011. 7. 28. 선고 2008도3120 판결"
"
  상고이유(상고이유서 제출 기간 경과 후에 제출한 상고이유보충서의 기재는 상고이유를 보충하는 범위 내에서)를 살펴본다.
  1. 이 사건 공소사실의 요지
  피고인은 2010. 3. 31. 10:00경 서울 종로구 내자동길 20 소재 서울지방경찰청 2층 대강당에서, 서울지방경찰청장으로서 서울지방경찰청 소속 5개 기동단 팀장급 398명을 상대로 기동부대 지휘요원 특별교양을 실시하던 중, 사실은 2009. 5. 23. 사망한 피해자 공소외 1 전 대통령과 관련한 거액이 들어 있는 차명계좌가 그 무렵 검찰수사 중에 발견된 사실이 없어 공소외 1 전 대통령이 그로 인해 자살한 것이 아니고 공소외 1 전 대통령의 배우자인 피해자 공소외 2가 이러한 차명계좌가 드러나는 것을 막기 위해 민주당에 공소외 1 전 대통령의 죽음과 관련한 특검을 하지 못하게 요청한 사실이 없음에도, “작년 노통, 공소외 1 전 대통령 5월 23일 부엉이바위 사건 때 막 또 그 뒤로 뛰쳐나왔지 않습니까. 그런데 여러분들, 공소외 1 전 대통령 뭐 때문에 사망했습니까? 뭐 때문에 뛰어내렸습니까? 뛰어버린 바로 전날 계좌가 발견됐지 않습니까, 차명계좌가. 10만 원짜리 수표가 타인으로, 거액의 차명계좌가 발표돼, 발견이 됐는데 그거 가지고 아무리 변명해도 이제 변명이 안 되지 않습니까? 그거 때문에 부엉이바위에서 뛰어내린 겁니다”, “그래서 특검 이야기가 나왔지 않습니까. 특검 이야기가 나와서 특검하려고 그러니까 공소외 2 여사가 민주당에 이야기를 해서 특검을 못하게 한 겁니다. 그 해봐야 다 드러나게 되니까”라고 말하여 공연히 허위사실을 적시하여 피해자들의 명예를 훼손하였다.
  2. 이 사건에 적용되는 법리
 형법 제307조 제2항의 허위사실 적시에 의한 명예훼손죄에서 적시된 사실이 허위인지 여부를 판단함에 있어서는 적시된 사실의 내용 전체의 취지를 살펴볼 때 세부적인 내용에서 진실과 약간 차이가 나거나 다소 과장된 표현이 있는 정도에 불과하다면 이를 허위라고 볼 수 없으나, 중요한 부분이 객관적 사실과 합치하지 않는다면 이를 허위라고 보아야 한다(대법원 2012. 11. 15. 선고 2010도6343 판결 등 참조). 나아가 행위자가 그 사항이 허위라는 것을 인식하였는지 여부는 성질상 외부에서 이를 알거나 증명하기 어려우므로, 공표된 사실의 내용과 구체성, 소명자료의 존재 및 내용, 피고인이 밝히는 사실의 출처 및 인지 경위 등을 토대로 피고인의 학력, 경력, 사회적 지위, 공표 경위, 시점 및 그로 말미암아 예상되는 파급효과 등의 여러 객관적 사정을 종합하여 판단할 수밖에 없으며(대법원 2005. 7. 22. 선고 2005도2627 판결 등 참조), 범죄의 고의는 확정적 고의뿐만 아니라 결과 발생에 대한 인식이 있고 그를 용인하는 의사인 이른바 미필적 고의도 포함하는 것이므로 허위사실 적시에 의한 명예훼손죄 역시 미필적 고의에 의하여도 성립하고(대법원 2004. 2. 26. 선고 99도5190 판결 등 참조), 위와 같은 법리는 형법 제308조의 사자명예훼손죄의 판단에서도 마찬가지로 적용된다.
  3. 이 사건 발언의 허위 여부와 관련된 상고이유에 관하여
  가. 원심판결 이유와 원심과 제1심이 적법하게 채택한 증거에 의하면, 차명계좌의 의미에 관한 피고인의 주장이 다음과 같이 달라져 왔음을 알 수 있다.
  즉, ① 피고인은 수사기관에서 조사받거나 제1심 재판 과정에서는, 이 사건 강연에서 발언한 ‘거액의 차명계좌’(이하 ‘이 사건 차명계좌’라 한다)는 청와대 제2부속실 소속 여자 행정관인 공소외 3, 4 명의로 된 계좌를 의미하고, 공소외 5 ○○실업 회장이 공소외 1 전 대통령의 조카사위인 공소외 6의 계좌로 송금한 미화 500만 달러 등 공소외 5와 관련된 미화 640만 달러를 염두에 두고 발언하거나 전 청와대 비서실 총무비서관인 공소외 7과 관련된 계좌는 아니라고 하였다. ② 그러다가 제1심 변론종결 직전에 이르러서는 종전과 달리, 이 사건 차명계좌는 공소외 1 전 대통령이 스스로 책임을 느낄 수 있거나 그러한 단서가 될 만한 내용을 추적할 수 있는 계좌라고 주장하였고, 원심에서도 차명계좌란 뇌물과 같이 떳떳하지 못한 돈을 관리하는 계좌라는 의미로 이해하였다고 진술하였으며, 피고인의 변호인들 역시 이 사건 발언을 할 당시 특정한 계좌를 염두에 두고 이야기한 것이 아니고 공소외 1 전 대통령과 관련된 계좌를 이야기하는 것으로서 1차적으로 공소외 3, 4의 계좌를 의미하고, 공소외 1 전 대통령이 도덕적으로 책임질 부분이라는 의미에서 2차적으로 공소외 6 명의의 계좌나 공소외 7 전 비서관과 관련된 공소외 8, 9의 계좌도 포함되는 것이라고 주장하였다.
  나. 원심판결 이유에 의하면, 원심은 다음과 같은 이유로 피고인이 이 사건 강연에서 차명계좌와 특별검사에 관하여 한 발언이 허위라고 판단하였다.
  ① 이 사건 차명계좌는 피고인 스스로 진술하는 바와 같이 뇌물과 같이 떳떳하지 못한 돈을 관리하는 계좌로서 노 전 대통령과 그 배우자, 아들, 딸 등이 그 계좌에 있는 돈을 실제로 소유하고 있다는 뜻인바, 피고인이 발언한 ‘자살의 동기가 될 만한 차명계좌’는 단순한 차명계좌의 의미를 넘어 공소외 1 전 대통령에게 큰 책임과 부담을 줄 수 있는 계좌로서 그동안 알려지지 아니한 새로운 차명계좌를 의미하는 것이라고 봄이 상당하다.
  ② 공소외 1 전 대통령에 대한 소환조사 또는 사망 전에 공소외 2의 미화 100만 달러, 공소외 6의 미화 500만 달러, 공소외 10의 미화 40만 달러, 공소외 7의 15억 5천만 원 등에 관한 내용은 이미 수사기관에서 조사되거나 언론보도를 통하여 공소외 1 전 대통령의 사망 전에 밝혀진 것으로서 새로운 계좌가 아닐 뿐만 아니라 모두 미화 내지 현금 또는 채권 등으로 수수된 금액이므로 10만 원권 수표가 다량 입금되었다고 하는 이 사건 차명계좌와는 무관하다.
  ③ 이 사건 차명계좌가 청와대 제2부속실 소속 여자 행정관인 공소외 3, 4 명의의 계좌를 의미하는지에 관하여는, ㉮ 공소외 3, 4 명의의 계좌 예금잔고는 대체로 수백만 원에 불과하고 최고 8,302만 원을 넘지 않는 점, ㉯ 공소외 3, 4는 자신들 명의의 계좌에서의 큰 금액의 거래내역을 구체적으로 해명하고 있고, 그 외 대부분을 차지하는 수백만 원 정도의 입·출금은 공소외 2의 심부름이나 청와대에서의 생활비 지출 등의 지시사항을 이행하기 위한 것이거나 사용처가 구체적으로 기재된 것으로서 일상적인 용도로 보이는 점, ㉰ 2005. 6.부터 2009. 3.까지 위 계좌에 입금된 수표의 발행자금 합계가 99억 원이 넘고 현금 입금액 합계가 2억 9천만 원을 넘는다고는 하나, 그 기간이 약 4년에 이르고 동시에 입금된 10만 원권 수표의 발행일, 발행자 등이 매우 다양하며 일부 큰 금액의 입출금이 반복된 것이 고려되어야 하는 점, ㉱ 위 계좌에는 2005. 7.부터 2008. 10.까지 10만 원권 수표는 197장 합계 1,970만 원이 입금되었을 뿐이고, 그 중 2005년 전에 발행된 10만 원권 수표는 82장 합계 820만 원에 불과한 점, ㉲ 피고인은 검찰에서 ‘청와대 제2부속실 여자 행정관 2명 명의의 우리은행 삼청동지점 계좌에 2004년경 다수의 헌 10만 원짜리 수표 등 10억 원 이상이 입금되었다가 2008. 2. 공소외 1 전 대통령 퇴임 무렵 이후에 인출되어 사용되었다’는 내용을 들었다고 진술하였으나, 공소외 3, 4 명의의 우리은행 삼청동지점 계좌는 존재하지 않을 뿐 아니라 공소외 3, 4 명의의 다른 은행 계좌에도 2004년경 10억 원 이상이 입금되었다가 공소외 1 전 대통령 퇴임 후 그 금액이 인출된 내역은 없는 점 등에 비추어 보면, 공소외 3, 4 명의의 계좌가 ‘공소외 1 전 대통령에게 큰 책임과 부담을 줄 만한 새로운 차명계좌’라고 보기 어렵다.
  ④ 공소외 10의 미화 40만 달러는 이미 수사기관에서 조사되거나 언론보도된 상태이고, 공소외 10의 외국환거래법위반 부분도 현금이 수수된 것이며, 공소외 11, 12, 10, 13 명의의 2005. 6. 1.부터 2009. 3. 31.까지의 계좌는 그 잔액이 대체로 많아야 수백만 원에 불과하거나 주로 카드대금 등으로 출금된 점 등에 비추어 보면 역시 이 사건 차명계좌로 볼 수 없다.
  ⑤ 피고인은, 이 사건 2009. 4. 20.자 압수수색영장은 2007. 6. 26. 공소외 14, 10 명의 계좌에서의 송금 또는 환전된 20만 달러의 출처 등에 대한 수사를 위한 것으로서, 공소외 3, 4 계좌 이외에 공소외 11, 12, 10, 13 명의의 금융계좌에 대하여도 또 다른 10만 원권 구권 수표의 흔적이 남아있을 가능성이 있고, 공소외 4 명의의 계좌에 입금된 10만 원권 수표 중 2장은 공소외 8 명의의 기업은행 계좌에서 발행된 10만 원권 수표 200장 중 2장이라는 것이 1차적으로 확인되었고, 대검찰청 중앙수사부가 시중 금융기관에 공소외 8 명의의 기업은행 계좌에서 발행된 10만 원권 수표에 대한 금융거래정보를 요청하였는데, 그 중 신한은행이 회신한 자료에 수표 18장이 중국 위안화로 환전되고 그 명의자가 공소외 10이라는 것이므로, 이는 공소외 8 계좌에서 출금된 돈을 공소외 2가 공소외 10의 환전자금 등으로 사용하였다는 사정이 드러난 것이고 대검찰청 중앙수사부는 공소외 8 계좌에 들어 있는 돈의 실제 주인이 공소외 2라는 사정을 포착한 것이라고 주장하나, 검찰의 의견은 2009. 4. 20.자 계좌추적영장의 집행결과와 관련하여 공소외 10, 13, 11, 12에 대한 계좌추적결과는 현재 검찰에 보관되어 있지 않고 다만 공소외 13 명의의 신한은행 계좌(계좌번호 생략) 거래내역은 보관되어 있다는 것이고, 공소외 8의 계좌는 이미 공소외 1 전 대통령 사망 전에 밝혀진 것으로 새로운 계좌가 아닐 뿐 아니라 10만 원짜리 수표가 입금된 계좌도 아니므로 이 사건 차명계좌라고 볼 수 없다.
  ⑥ 공소외 1 전 대통령 사망 전부터 민주당에서 주장하였던 특별검사제 도입의 내용은 공소외 5 사건에 연루된 공소외 15 등 공소외 16 전 대통령의 측근 인사의 비리 및 피의사실 공표 등 공소외 1 전 대통령에 대한 검찰수사의 문제점을 대상으로 한 것으로, 공소외 1 전 대통령과 관련된 차명계좌와는 관련이 없고, 민주당은 특별검사제의 도입을 계속 주장하였으나 정부, 여당이 반대한 것으로 보일 뿐이며, 피고인의 이 사건 발언이 문제 된 후 민주당이 특별검사제의 도입을 반대하였으나, 이는 공소외 1 전 대통령의 사망 및 이 사건 발언 후의 사정에 불과하므로, 결국 이 부분 발언은 허위이다.
  다. 상고이유에 관한 판단
  (1) 변호인들은 상고이유로, 이 사건 공소사실 전단은 ‘사실은 공소외 1 전 대통령과 관련한 거액의 차명계좌가 그 무렵 검찰 수사 중에 발견된 사실이 없어’라고 되어 있음에도 원심은 검사가 증명대상으로 특정하지 아니한 ‘뛰어내리기 전날 10만 원권 수표가 입금된 계좌가 발견되었는지’를 심판대상으로 삼은 잘못이 있고, 위 발언 부분은 이 사건 발언 중 부수적인 내용에 불과하며 명예훼손적인 의미를 담고 있지도 않고, 자살의 동기가 무엇인지는 사실에 관한 발언이 아니라 의견에 불과하므로 심판대상이 될 수 없다고 주장하나, 다음과 같은 이유로 위 주장은 받아들일 수 없다.
  ① 공소사실을 전체적으로 파악하지 않고 일부분만을 떼어 그 의미를 파악하는 것은 타당하지 아니하다. 
  ② 이 사건 발언의 주요한 내용은 ‘10만 원권 수표로 거액이 입금된 차명계좌가 뛰어내리기 전날 발견되었고 그로 인하여 공소외 1 전 대통령이 자살하였다’는 것으로서, 10만 원권 수표가 입금된 계좌라거나 공소외 1 전 대통령의 사망 직전 무렵에 발견된 계좌라는 점은 피고인이 적시하려 하였던 계좌가 무엇인지를 파악하는 데 매우 중요한 의미를 가진다.
  ③ 피고인 역시 수사기관에서부터 자신이 발언한 ‘거액의 차명계좌’는 10만 원권 수표로 10억 원 이상이 입금된 비자금계좌로서 실제로 존재한다고 주장해 왔다.
  ④ 원심은 이 사건 차명계좌가 공소외 1 전 대통령의 자살의 동기가 되었다는 사실을 인정한 것이 아니라 단순한 차명계좌의 의미를 넘어 공소외 1 전 대통령에게 큰 책임과 부담을 줄 수 있는 차명계좌로서 그전까지 수사나 언론보고를 통하여 밝혀진 계좌가 아닌 새로운 차명계좌를 의미한다고 받아들인 것이다. 
  ⑤ 앞서 본 바와 같이 피고인과 변호인들은 이 사건 차명계좌의 의미에 관하여 처음에는 10만 원권 수표로 10억 원 이상의 거액이 입금된 청와대 여자 행정관 명의의 계좌를 뜻한다고 주장하였다가, 나중에는 태도를 달리하여 떳떳하지 못한 돈과 관련된 모든 계좌라거나 차명계좌를 밝힐 수 있는 단서가 되는 계좌도 포함된다고 주장하였는바, 변호인들이 위와 같이 공소사실의 특정이나 심판대상과 관련한 잘못을 지적하며 다투는 것은 처음과 달라진 자신들의 주장 내용이 정당하다는 것을 드러내려는 의도에서 비롯된 것으로 보인다. 
  (2) 변호인들의 이 부분 상고이유 주장의 핵심은 이 사건 발언이 허위인지에 관하여 원심이 잘못된 사실인정을 하였다는 것이나, 위에서 본 사정에 더하여 원심판결 이유를 앞서 본 법리와 원심과 제1심이 적법하게 채택한 증거에 비추어 살펴보면 원심의 판단은 수긍할 수 있고, 거기에 논리와 경험의 법칙에 반하여 자유심증주의의 한계를 벗어나거나 공소사실의 특정, 사자(死者)의 명예훼손죄의 심판대상과 판단기준, 증명책임과 증명의 정도, 차명계좌에 관한 법리를 오해하거나 증명책임을 전도하여 사실을 인정한 잘못이 없다.
  4. 피고인의 허위 인식과 관련된 상고이유에 관하여
  가. 원심은 다음과 같은 이유로 피고인이 이 사건 발언이 허위인 점을 인식하고 있었다고 보았다. 
  ① 피고인은 2010. 1. 서울지방경찰청장 취임 후에 공소외 17을 다른 사람들과 같이 2번 만났고, 이 사건 발언 전 3번째로 단둘이 만났다고 진술하고 있는데, 공소외 17은 이 사건 발언 전 피고인을 만난 사실이나 피고인에게 이 사건 발언과 같은 내용을 말해 준 사실이 없다고 증언하고 있다. 
  ② 피고인 주장대로 이 사건 발언 전 만난 것까지 공소외 17을 3번 정도 만난 사이이고, 단둘이 만난 것은 이 사건 발언 직전이 처음인데, 만난 지 몇 번 되지도 않은 사람에게 그러한 이야기를 하였고 또 이를 그대로 믿었다는 것은 납득하기 어렵다.
  ③ 당시 공소외 17의 지위(▽▽▽▽▽▽연구소 이사장)에 비추어 볼 때 공소외 17이 공소외 1 전 대통령에 대한 대검찰청 중앙수사부의 수사상황을 알 수 있는 지위에 있지 않았던 것으로 보이고, 피고인 역시 민감한 사회·정치적 현안에 관하여 많은 정보를 접하는 서울지방경찰청장이었다는 점에서 공소외 17이 피고인보다 고급정보를 더 쉽게 접할 수 있는 지위에 있었기 때문에 공소외 17로부터 들은 내용이 사실이라고 믿었다는 피고인의 주장은 선뜻 이해하기 어렵다.
  ④ 피고인이 이 사건 발언에서 한 내용은 ‘차명계좌가, 10만 원짜리 수표가 타인으로, 거액의 차명계좌가 발표돼, 발견이 됐는데…’로 매우 단편적으로 추상적임에도, 이 사건 발언이 문제 된 후 공소외 17에게 ‘10만 원짜리 수표가 입금된 거액의 차명계좌’가 무엇인지, 그 사실의 진위에 관하여 물어본 일이 없고, 심지어 그 후 공소외 17을 만난 자리에서도 이에 관하여 언급한 일이 없다.
  ⑤ 피고인은 공소외 17로부터 들은 이야기의 진위에 관하여 다른 경로 등을 통하여 확인할 수 있었던 지위에 있었음에도 달리 이를 확인한 바 없다.
  나. 앞서 본 법리와 원심과 제1심이 적법하게 채택한 증거에 비추어 살펴보면, 원심의 위와 같은 판단은 정당한 것으로 수긍할 수 있고, 거기에 논리와 경험의 법칙에 반하여 자유심증주의의 한계를 벗어나거나 증명책임, 명예훼손죄의 주관적 구성요건에 관한 법리오해 등의 잘못이 없다.
  5. 결론 
  그러므로 상고를 기각하기로 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다. 
"," 형법 제307조 제2항, 제308조, 형사소송법 제308조"," 형법 제307조 제2항의 허위사실 적시에 의한 명예훼손죄에서 적시된 사실이 허위인지 여부를 판단함에 있어서는 적시된 사실의 내용 전체의 취지를 살펴볼 때 세부적인 내용에서 진실과 약간 차이가 나거나 다소 과장된 표현이 있는 정도에 불과하다면 이를 허위라고 볼 수 없으나, 중요한 부분이 객관적 사실과 합치하지 않는다면 이를 허위라고 보아야 한다. 나아가 행위자가 그 사항이 허위라는 것을 인식하였는지 여부는 성질상 외부에서 이를 알거나 증명하기 어려우므로, 공표된 사실의 내용과 구체성, 소명자료의 존재 및 내용, 피고인이 밝히는 사실의 출처 및 인지 경위 등을 토대로 피고인의 학력, 경력, 사회적 지위, 공표 경위, 시점 및 그로 말미암아 예상되는 파급효과 등의 여러 객관적 사정을 종합하여 판단할 수밖에 없으며, 범죄의 고의는 확정적 고의뿐만 아니라 결과 발생에 대한 인식이 있고 그를 용인하는 의사인 이른바 미필적 고의도 포함하므로 허위사실 적시에 의한 명예훼손죄 역시 미필적 고의에 의하여도 성립하고, 위와 같은 법리는 형법 제308조의 사자명예훼손죄의 판단에서도 마찬가지로 적용된다."," 대법원 2004. 2. 26. 선고 99도5190 판결, 대법원 2005. 7. 22. 선고 2005도2627 판결(공2005하, 1462), 대법원 2012. 11. 15. 선고 2010도6343 판결"
